text,stress_level
"Feeling average, nothing special",1
"Feeling fantastic",0
"Occasional worries",1
"Carefree and happy",0
"Sleep quality has dipped",1
"Best sleep I've had in weeks",0
"Somewhat tense",1
"Completely at ease",0
"Minor setbacks today",1
"No obstacles today",0
"A little pressure from deadlines",1
"All deadlines met comfortably",0
"Feeling neutral",1
"Feeling joyful",0
"Slight anxiety about presentation",1
"Presentation went perfectly",0
"Manageable stress levels",1
"Zero stress today",0
"Somewhat overwhelmed",1
"Totally in control",0
"A bit tired but okay",1
"Full of vitality",0
"Minor conflicts at home",1
"Harmonious home environment",0
"Feeling stretched thin",1
"Plenty of time for everything",0
"A little worried about health",1
"In excellent health",0
"Some stress from multitasking",1
"Handling multiple tasks easily",0
"Feeling lukewarm about goals",1
"Passionate about my goals",0
"Moderate anxiety levels",1
"Anxiety-free",0
"A bit uncertain",1
"Very certain and confident",0
"Somewhat dissatisfied",1
"Highly satisfied",0
"Feeling okay, not great",1
"Feeling amazing",0
"A little stressed but managing",1
"No stress at all",0
"Mild discomfort",1
"Completely comfortable",0
"Feeling so-so",1
"Feeling wonderful",0
"Slightly troubled",1
"No troubles whatsoever",0
"A bit uneasy",1
"Perfectly at peace",0
"Moderate concerns",1
"No concerns",0
"Feeling mediocre",1
"Feeling excellent",0
"Some tension in shoulders",1
"Body feels loose and relaxed",0
"A bit moody",1
"Mood is stable and positive",0
"Feeling indifferent",1
"Feeling passionate",0
"Slightly pessimistic",1
"Optimistic about everything",0
"A little scattered",1
"Very organized",0
"Somewhat unmotivated",1
"Highly motivated",0
"Feeling bland",1
"Feeling vibrant",0
"A bit low on confidence",1
"Confidence is sky-high",0
"Moderate self-doubt",1
"No self-doubt",0
"Feeling ordinary",1
"Feeling extraordinary",0
"A little lonely",1
"Surrounded by love",0
"Somewhat bored",1
"Fully engaged and interested",0
"Feeling uninspired",1
"Bursting with inspiration",0
"A bit stuck",1
"Moving forward smoothly",0
"Moderate frustration",1
"No frustration",0
"Feeling dull",1
"Feeling bright and sharp",0
"A little hesitant",1
"Decisive and clear",0
"Somewhat confused",1
"Completely clear-headed",0
"Feeling average energy",1
"Energy levels are perfect",0
"A bit uncertain about choices",1
"Confident in all decisions",0
"Moderate pressure",1
"No pressure at all",0
"Feeling alright",1
"Feeling superb",0
"A little weary",1
"Fully refreshed",0
"Somewhat distracted",1
"Laser-focused",0
"Feeling stable",1
"Feeling on top of the world",0
"A bit subdued",1
"Lively and animated",0
"Moderate effort required",1
"Everything comes easily",0
"Feeling somewhat capable",1
"Feeling extremely capable",0
"A little doubtful",1
"Absolutely certain",0
"Moderate challenges",1
"No challenges",0
"Feeling decent",1
"Feeling phenomenal",0
"A bit weighed down",1
"Light as a feather",0
"Somewhat restricted",1
"Completely free",0
"Feeling standard",1
"Feeling exceptional",0
